external_id,name,phone,address,specialty,license_no,license_expiry,affiliations
P016,Dr. Karan Bhatt,079-60000006,"CityCare Clinic, Ahmedabad",Psychiatry,LIC-KARAN-1,2026-02-28,
P017,Dr. Mehul Jain,079-60000007,"Global Hospital, Ahmedabad",Gastroenterology,LIC-MEHUL-1,2025-12-05,
P018,Dr. Alpa Trivedi,079-60000008,"WellBeing Clinic, Ahmedabad",Rheumatology,LIC-ALPA-1,2026-07-11,
P019,Dr. Vivek Dave,079-60000009,"Harmony Hospital, Ahmedabad",Nephrology,LIC-VIVEK-1,2025-05-09,
P020,Dr. Shruti Modi,079-60000010,"Smile Dental Care, Ahmedabad",Dentistry,LIC-SHRUTI-1,2026-04-04,
P021,Dr. Saurabh Rao,011-40000001,"Central Hospital, Delhi",Cardiology,LIC-SRAO-1,2025-06-30,
P022,Dr. Nisha Kapoor,011-40000002,"Wellness Clinic, South Delhi",Gynecology,LIC-NKAPOOR-1,2025-09-15,
P023,Dr. Raj Malhotra,011-40000003,"City Hospital, West Delhi",Orthopedics,LIC-RAJ-1,2024-12-31,
P024,Dr. Kavita Arora,011-40000004,"Sunshine Clinic, East Delhi",Pediatrics,LIC-KAVITA-1,2026-08-20,
P025,Dr. Deepak Khanna,011-40000005,"HeartCare Center, Delhi",Cardiology,LIC-DEEPAK-1,2025-10-11,
P026,Dr. Ritu Bansal,011-40000006,"SkinGlow Clinic, Delhi",Dermatology,LIC-RITU-1,2025-01-05,
P027,Dr. Mohan Lal,011-40000007,"NeuroCare Hospital, Delhi",Neurology,LIC-MOHAN-1,2026-03-18,
P028,Dr. Amrita Singh,011-40000008,"WomenCare Clinic, Delhi",Gynecology,LIC-AMRITA-1,2025-07-07,
P029,Dr. Gaurav Jain,011-40000009,"City ENT Center, Delhi",ENT,LIC-GAURAV-1,2024-10-21,
P030,Dr. Pooja Sinha,011-40000010,"Smile Dental Studio, Delhi",Dentistry,LIC-POOJA-1,2026-02-09,
P031,Dr. Ajay Nair,080-50000001,"Metro Hospital, Bengaluru",Cardiology,LIC-AJAY-1,2026-06-06,
P032,Dr. Divya Rao,080-50000002,"Green Valley Clinic, Bengaluru",Family Medicine,LIC-DIVYA-1,2025-09-23,
P033,Dr. Rohit Menon,080-50000003,"NeuroPlus Center, Bengaluru",Neurology,LIC-ROHIT-1,2025-11-29,
P034,Dr. Sneha Iyer,080-50000004,"CareFirst Clinic, Bengaluru",Endocrinology,LIC-SNEHAI-1,2024-12-19,
P035,Dr. Kiran Shetty,080-50000005,"Sunrise Hospital, Bengaluru",Orthopedics,LIC-KIRAN-1,2025-03-30,
P036,Dr. Asha Reddy,080-50000006,"WomenCare Hospital, Bengaluru",Gynecology,LIC-ASHA-1,2025-05-17,
P037,Dr. Nikhil Rao,080-50000007,"CityCare Clinic, Bengaluru",Psychiatry,LIC-NIKHIL-1,2026-01-27,
P038,Dr. Shreya Gupta,080-50000008,"SkinCare Center, Bengaluru",Dermatology,LIC-SHREYA-1,2025-08-12,
P039,Dr. Varun Pai,080-50000009,"LifeLine Hospital, Bengaluru",Gastroenterology,LIC-VARUN-1,2026-09-30,
P040,Dr. Meera Reddy,080-50000010,"Smile Dental Care, Bengaluru",Dentistry,LIC-MEERAR-1,2025-04-02,
P041,Dr. Arjun Nair,040-60000001,"City Hospital, Hyderabad",Cardiology,LIC-ARJUNN-1,2025-06-16,
P042,Dr. Jyoti Reddy,040-60000002,"Lotus Clinic, Hyderabad",Gynecology,LIC-JYOTI-1,2024-11-11,
P043,Dr. Sandeep Rao,040-60000003,"Metro Neuro Center, Hyderabad",Neurology,LIC-SANDEEP-1,2026-01-19,
P044,Dr. Priya Sharma,040-60000004,"Sunrise Clinic, Hyderabad",Pediatrics,LIC-PRIYAS-1,2025-09-09,
P045,Dr. Tejas Mehta,040-60000005,"OrthoCare Hospital, Hyderabad",Orthopedics,LIC-TEJAS-1,2025-03-03,
P046,Dr. Rachna Jain,040-60000006,"SkinGlow Clinic, Hyderabad",Dermatology,LIC-RACHNA-1,2025-07-28,
P047,Dr. Vivek Reddy,040-60000007,"LifeCare Hospital, Hyderabad",Gastroenterology,LIC-VIVEKR-1,2024-10-02,
P048,Dr. Anjali Gupta,040-60000008,"WomenFirst Clinic, Hyderabad",Gynecology,LIC-ANJALI-1,2026-04-21,
P049,Dr. Nitin Shah,040-60000009,"City ENT Clinic, Hyderabad",ENT,LIC-NITIN-1,2025-01-27,
P050,Dr. Ritu Rao,040-60000010,"Smile Dental Studio, Hyderabad",Dentistry,LIC-RITUR-1,2025-05-25,
P051,Dr. Sameer Kulkarni,020-70000001,"City Hospital, Pune",Cardiology,LIC-SAMEER-1,2026-05-01,
P052,Dr. Naina Deshpande,020-70000002,"CarePlus Clinic, Pune",Family Medicine,LIC-NAINA-1,2025-09-14,
P053,Dr. Harshad Joshi,020-70000003,"OrthoCare Center, Pune",Orthopedics,LIC-HARSHAD-1,2025-02-08,
P054,Dr. Pooja Kulkarni,020-70000004,"Sunrise Clinic, Pune",Pediatrics,LIC-POOJAK-1,2025-10-19,
P055,Dr. Raghav Patil,020-70000005,"NeuroLife Hospital, Pune",Neurology,LIC-RAGHAV-1,2024-12-28,
P056,Dr. Anushka Patil,020-70000006,"WomenCare Clinic, Pune",Gynecology,LIC-ANUSHKA-1,2026-03-07,
P057,Dr. Rohan Shah,020-70000007,"SkinCare Center, Pune",Dermatology,LIC-ROHANS-1,2025-06-12,
P058,Dr. Vinay Deshpande,020-70000008,"LifeLine Hospital, Pune",Gastroenterology,LIC-VINAY-1,2025-08-29,
P059,Dr. Shraddha Joshi,020-70000009,"Smile Dental Care, Pune",Dentistry,LIC-SHRADDHA-1,2026-01-13,
P060,Dr. Yash Mehta,020-70000010,"HeartCare Center, Pune",Cardiology,LIC-YASH-1,2025-04-27,
P061,Dr. Aarti Nair,033-80000001,"City Hospital, Kolkata",Cardiology,LIC-AARTI-1,2025-06-05,
P062,Dr. Rohit Banerjee,033-80000002,"GreenLeaf Clinic, Kolkata",Family Medicine,LIC-ROHITB-1,2025-09-20,
P063,Dr. Suman Ghosh,033-80000003,"NeuroCare Center, Kolkata",Neurology,LIC-SUMAN-1,2026-02-18,
P064,Dr. Riya Sen,033-80000004,"Sunrise Clinic, Kolkata",Pediatrics,LIC-RIYA-1,2024-11-09,
P065,Dr. Arindam Das,033-80000005,"OrthoPlus Hospital, Kolkata",Orthopedics,LIC-ARINDAM-1,2025-03-16,
P066,Dr. Shalini Roy,033-80000006,"WomenCare Clinic, Kolkata",Gynecology,LIC-SHALINI-1,2025-05-30,
P067,Dr. Anupam Bose,033-80000007,"SkinGlow Center, Kolkata",Dermatology,LIC-ANUPAM-1,2026-07-23,
P068,Dr. Devika Paul,033-80000008,"LifeCare Hospital, Kolkata",Gastroenterology,LIC-DEVIKA-1,2025-01-19,
P069,Dr. Sandeep Sarkar,033-80000009,"Smile Dental Care, Kolkata",Dentistry,LIC-SANDEEPS-1,2025-08-08,
P070,Dr. Meena Gupta,033-80000010,"HeartCare Clinic, Kolkata",Cardiology,LIC-MEENA-1,2026-04-29,
P071,Dr. Rohan Kulkarni,044-90000001,"Metro Hospital, Chennai",Cardiology,LIC-ROHANK-1,2025-07-21,
P072,Dr. Priya Krishnan,044-90000002,"CareFirst Clinic, Chennai",Family Medicine,LIC-PRIYAKR-1,2025-10-01,
P073,Dr. Sanjay Rao,044-90000003,"NeuroLife Hospital, Chennai",Neurology,LIC-SANJAY-1,2024-12-22,
P074,Dr. Aishwarya Iyer,044-90000004,"Sunrise Clinic, Chennai",Pediatrics,LIC-AISHWARYA-1,2025-03-28,
P075,Dr. Varsha Menon,044-90000005,"OrthoCare Center, Chennai",Orthopedics,LIC-VARSHA-1,2025-06-18,
P076,Dr. Tejaswini Rao,044-90000006,"WomenCare Hospital, Chennai",Gynecology,LIC-TEJASWINI-1,2026-01-04,
P077,Dr. Harish Nair,044-90000007,"SkinCare Center, Chennai",Dermatology,LIC-HARISH-1,2025-09-12,
P078,Dr. Latha Reddy,044-90000008,"LifeLine Hospital, Chennai",Gastroenterology,LIC-LATHA-1,2025-11-07,
P079,Dr. Rahul Sharma,044-90000009,"Smile Dental Studio, Chennai",Dentistry,LIC-RAHUL-1,2024-10-30,
P080,Dr. Sneha Menon,044-90000010,"HeartCare Center, Chennai",Cardiology,LIC-SNEHAM-1,2026-02-24,
P081,Dr. Aditya Jain,021-91000001,"City Clinic, Nashik",Family Medicine,LIC-ADITYA-1,2025-04-15,
P082,Dr. Nidhi Patil,021-91000002,"Sunrise Hospital, Nashik",Pediatrics,LIC-NIDHI-1,2025-07-02,
P083,Dr. Omkar Deshpande,021-91000003,"OrthoPlus Clinic, Nashik",Orthopedics,LIC-OMKAR-1,2024-11-27,
P084,Dr. Trupti Joshi,021-91000004,"SkinGlow Clinic, Nashik",Dermatology,LIC-TRUPTI-1,2025-02-19,
P085,Dr. Pranav Patil,021-91000005,"CareFirst Clinic, Nashik",Cardiology,LIC-PRANAV-1,2026-05-19,
P086,Dr. Minal Kulkarni,021-91000006,"WomenCare Clinic, Nashik",Gynecology,LIC-MINAL-1,2025-09-09,
P087,Dr. Nikhil Shinde,021-91000007,"NeuroCare Center, Nashik",Neurology,LIC-NIKHILS-1,2025-12-14,
P088,Dr. Rutuja Deshmukh,021-91000008,"LifeCare Hospital, Nashik",Gastroenterology,LIC-RUTUJA-1,2026-03-02,
P089,Dr. Saurabh Joshi,021-91000009,"Smile Dental Care, Nashik",Dentistry,LIC-SAURABH-1,2025-06-27,
P090,Dr. Vaishali Patil,021-91000010,"HeartCare Clinic, Nashik",Cardiology,LIC-VAISHALI-1,2025-08-16,
P091,Dr. Shruti Rao,0141-92000001,"City Hospital, Jaipur",Cardiology,LIC-SHRUTIR-1,2026-01-31,
P092,Dr. Prakash Singh,0141-92000002,"GreenLeaf Clinic, Jaipur",Family Medicine,LIC-PRAKASH-1,2025-04-22,
P093,Dr. Kavya Sharma,0141-92000003,"Sunrise Clinic, Jaipur",Pediatrics,LIC-KAVYA-1,2025-07-29,
P094,Dr. Anirudh Mehta,0141-92000004,"OrthoCare Hospital, Jaipur",Orthopedics,LIC-ANIRUDH-1,2024-12-09,
P095,Dr. Radhika Kapoor,0141-92000005,"SkinCare Center, Jaipur",Dermatology,LIC-RADHIKA-1,2025-02-26,
P096,Dr. Saurav Jain,0141-92000006,"NeuroLife Center, Jaipur",Neurology,LIC-SAURAV-1,2025-05-08,
P097,Dr. Poonam Gupta,0141-92000007,"WomenCare Clinic, Jaipur",Gynecology,LIC-POONAM-1,2026-06-13,
P098,Dr. Tarun Verma,0141-92000008,"LifeLine Hospital, Jaipur",Gastroenterology,LIC-TARUN-1,2025-09-03,
P099,Dr. Chetan Rao,0141-92000009,"Smile Dental Care, Jaipur",Dentistry,LIC-CHETAN-1,2025-11-18,
P100,Dr. Komal Singh,0141-92000010,"HeartCare Clinic, Jaipur",Cardiology,LIC-KOMAL-1,2024-10-13,
P101,Dr. Test One,011-11111111,"Demo Clinic 1, Mumbai",Cardiology,LIC-DEMO-1,2025-12-31,
P102,Dr. Test Two,022-22222222,"Demo Clinic 2, Delhi",Dermatology,LIC-DEMO-2,2025-06-30,
P103,Dr. Test Three,033-33333333,"Demo Clinic 3, Kolkata",Neurology,LIC-DEMO-3,2024-09-30,
P104,Dr. Test Four,044-44444444,"Demo Clinic 4, Chennai",Pediatrics,LIC-DEMO-4,2026-03-31,
P105,Dr. Test Five,080-55555555,"Demo Clinic 5, Bengaluru",Orthopedics,LIC-DEMO-5,2025-01-15,
P106,Dr. Test Six,079-66666666,"Demo Clinic 6, Ahmedabad",Gynecology,LIC-DEMO-6,2025-08-20,
P107,Dr. Test Seven,040-77777777,"Demo Clinic 7, Hyderabad",Endocrinology,LIC-DEMO-7,2026-07-07,
P108,Dr. Test Eight,020-88888888,"Demo Clinic 8, Pune",Family Medicine,LIC-DEMO-8,2025-11-11,
P109,Dr. Test Nine,021-99999999,"Demo Clinic 9, Nashik",Psychiatry,LIC-DEMO-9,2024-10-10,
P110,Dr. Test Ten,0141-10101010,"Demo Clinic 10, Jaipur",Cardiology,LIC-DEMO-10,2026-04-04,
